Product_title,Product_image,Packsize,Price,Price per unit
Lodge Farms Large Free Range Eggs 18pk/900g,https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_ALN3478-2_NEW__B3__1x1_228x128_2_f843e15ba9.jpg,,$5.49,61c per 100g
Cachet Gourmet Cat Food Fish 85g,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN3478-2_NEW__B3__1x1_228x128_5_3bf31854bf.jpg,,79c,93c per 100g
LACURA  Essentials Renew Cleansing Wipes 30pk,https://www.aldi.com.au/fileadmin/_processed_/f/8/csm_ALC7782_THE_BLOCK_1x1_228x128_49_b2fd8e8bc4.jpg,,$1.69,6c per wipe
LACURA® Renew Expert Face Cream Day 50ml,https://www.aldi.com.au/fileadmin/_processed_/d/4/csm_ALN3510_Q3_BEAUTY_1x1_228x128_6_c0b4f96dd3.jpg,,$10.99,$21.98 per 100ml
LACURA® Renew Expert Face Cream Night 50ml,https://www.aldi.com.au/fileadmin/_processed_/8/c/csm_ALN3510_Q3_BEAUTY_1x1_228x128_7_3134655ad4.jpg,,$10.99,$21.98 per 100ml
LACURA® Renew Expert Firming Eye Gel 15ml,https://www.aldi.com.au/fileadmin/_processed_/b/f/csm_ALN3510_Q3_BEAUTY_1x1_228x128_8_e268545a92.jpg,,$10.99,$21.98 per 100ml
LACURA® Revive Intensive Serum Night Elixir 30ml,https://www.aldi.com.au/fileadmin/_processed_/2/7/csm_ALN3510_Q3_BEAUTY_1x1_228x128_9_0c955c884e.jpg,,$10.99,$36.63 per 100ml
LACURA® Revive Intensive Serum Hyaluronic Gel 30ml,https://www.aldi.com.au/fileadmin/_processed_/2/9/csm_ALN3510_Q3_BEAUTY_1x1_228x128_10_d0c5e42584.jpg,,$10.99,$36.63 per 100ml
LACURA® Revive Intensive Serum Moisture Boost 15ml,https://www.aldi.com.au/fileadmin/_processed_/c/9/csm_ALN3510_Q3_BEAUTY_1x1_228x128_11_d8ecd7bb0a.jpg,,$10.99,$73.27 per 100ml
LACURA  Skin Science Revitalise Expert Neck & Décolleté Serum 50ml,https://www.aldi.com.au/fileadmin/_processed_/d/4/csm_ALN3510_Q3_BEAUTY_1x1_228x128_4_7ecab52a65.jpg,,$10.99,$21.98 per 100ml
LACURA  Skin Science Revitalise Expert Eye Cream 15ml,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN3510_Q3_BEAUTY_1x1_228x128_5_52e0ba549e.jpg,,$10.99,$21.98 per 100ml
LACURA  Essentials Revitalise Cleansing Wipes 30pk,https://www.aldi.com.au/fileadmin/_processed_/6/d/csm_ALC7782_THE_BLOCK_1x1_228x128_48_bd33cd66a1.jpg,,$1.69,6c per wipe
Head and Shoulders Anti Dandruff Shampoo 250ml,https://www.aldi.com.au/fileadmin/_processed_/d/7/csm_ALN3635_LTO_W44_1x1_228x128_13_a141376561.jpg,ea,$5.99,$2.40 per 100ml
Schwarzkopf Pastels Live Semi-Permanent Hair Colour 30ml,https://www.aldi.com.au/fileadmin/_processed_/b/5/csm_ALN3635_LTO_W44_1x1_228x128_14_b847158ff3.jpg,30ml,$4.79,$15.97 per 100ml
Garnier Micellar Cleansing Water 200ml,https://www.aldi.com.au/fileadmin/_processed_/7/c/csm_ALN3635_LTO_W44_1x1_228x128_15_59a10e956a.jpg,200ml,$4.99,$2.50 per 100ml
Garnier BB Cream 50ml,https://www.aldi.com.au/fileadmin/_processed_/3/d/csm_ALN3635_LTO_W44_1x1_228x128_16_320d4ad096.jpg,50ml,$9.99,$19.98 per 100ml
Gillette Venus Simply 3 Blade Disposable Razors 3pk,https://www.aldi.com.au/fileadmin/_processed_/3/b/csm_ALN3635_LTO_W44_1x1_228x128_17_3b6cec1eb1.jpg,3pk,$3.99,$1.33 per razor
Colway Marinades 375g,https://www.aldi.com.au/fileadmin/_processed_/f/5/csm_ALN3635_LTO_W42_1x1_228x128__feed1881b5.jpg,375g,$1.99,53c per 100g
Masterfoods Relish or Chutney 250g,https://www.aldi.com.au/fileadmin/_processed_/e/1/csm_ALN3635_LTO_W42_1x1_228x128_2_18e1cde5bb.jpg,250g,$2.99,$1.20 per 100g
Mcilhenny Co Tabasco Sauce 60ml,https://www.aldi.com.au/fileadmin/_processed_/1/9/csm_ALN3635_LTO_W42_1x1_228x128_3_f1c69b4c44.jpg,60ml,$3.99,$6.65 per 100ml
Masterfoods Mild American Mustard 250g,https://www.aldi.com.au/fileadmin/_processed_/f/2/csm_ALN3635_LTO_W42_1x1_228x128_4_c13f394814.jpg,250g,$2.99,$1.20 per 100g
Masterfoods Hot Chilli Sauce 250ml,https://www.aldi.com.au/fileadmin/_processed_/0/3/csm_ALN3635_LTO_W42_1x1_228x128_5_f71abe5378.jpg,250ml,$2.29,92c per 100ml
Colway Worcestershire Sauce 250ml,https://www.aldi.com.au/fileadmin/_processed_/6/f/csm_ALN3635_LTO_W42_1x1_228x128_6_1b44922a72.jpg,250ml,$1.99,80c per 100ml
Praise Flavoured Mayonnaise 250ml,https://www.aldi.com.au/fileadmin/_processed_/9/6/csm_ALN3635_LTO_W42_1x1_228x128_7_667989fd62.jpg,250ml,$2.99,$1.20 per 100ml
World Kitchen Pork and Ginger Dumplings 300g,https://www.aldi.com.au/fileadmin/_processed_/9/0/csm_ALN3662_1x1_SSV-NOV-B1_228x628_25_e7225e86e3.jpg,300g,$4.99,$1.66 per 100g
Blackstone Flavoured Popcorn 90g – Assorted Flavours,https://www.aldi.com.au/fileadmin/_processed_/1/7/csm_ALN3662_1x1_SSV-NOV-B1_228x628_26_aa4291ae6f.jpg,ea,$1.99,$2.21 per 100g
Blackstone Purple Potato & Sweet Potato Chips 120g,https://www.aldi.com.au/fileadmin/_processed_/3/6/csm_ALN3662_1x1_SSV-NOV-B1_228x628_27_8f1db2a059.jpg,120g,$2.49,$2.08 per 100g
Just Organic Corn Chips 200g,https://www.aldi.com.au/fileadmin/_processed_/9/5/csm_ALN3662_1x1_SSV-NOV-B1_228x628_28_395c3c27ae.jpg,200g,$1.99,$1.00 per 100g
